1,Nguyen Van A,a1@student.ctu.edu.vn,12/12/2000,12345
2,Tran Thi B,a2@student.ctu.edu.vn,13/12/2000,12345
3,Nguyen Van C,a3@student.ctu.edu.vn,14/12/2000,12345
4,Tran Thi D,a4@student.ctu.edu.vn,15/12/2000,12345
5,Nguyen Van E,a5@student.ctu.edu.vn,16/12/2000,12345
6,Tran Thi F,a6@student.ctu.edu.vn,17/12/2000,12345
7,Nguyen Van A,a7@student.ctu.edu.vn,18/12/2000,12345
8,Tran Thi B,a8@student.ctu.edu.vn,19/12/2000,12345
9,Nguyen Van A,a9@student.ctu.edu.vn,20/12/2000,12345
10,Tran Thi B,a10@student.ctu.edu.vn,21/12/2000,12345
